Season_1,Season_2,Season_3,Season_4
-2.0,15.3,20.15,-5.55
-4.4,14.95,18.3,-4.4
-4.8,15.4,18.25,-6.3
-2.65,13.8,19.9,-6.0
-4.55,13.45,17.35,-6.7
-3.65,13.45,19.35,-4.6
-4.5,15.3,18.7,-1.4
-3.15,15.15,16.95,-4.25
-3.4,14.15,18.55,-4.85
-2.15,15.85,19.4,-6.3
-1.2,13.9,18.85,-5.95
-4.25,13.05,17.9,-7.0
-4.4,13.9,18.2,-6.2
-5.05,14.85,18.45,-6.0
-3.1,14.2,17.65,-3.5
-2.0,14.35,18.45,-4.2
-4.1,14.35,19.4,-4.35
15.8,25.45,28.35,17.75
18.2,26.7,28.55,15.95
16.9,25.25,27.9,17.7
17.15,27.9,28.8,19.8
17.7,26.35,28.6,19.2
18.8,25.2,28.65,18.95
17.7,25.95,28.4,18.8
19.55,27.35,28.75,16.7
18.8,25.75,28.5,15.3
15.65,26.5,29.25,16.55
15.3,26.65,28.6,16.7
15.5,25.45,27.95,17.85
17.4,26.8,28.7,19.0
20.9,26.0,28.8,16.95
17.95,25.75,29.3,18.15
4.25,20.8,24.4,3.4
5.65,21.35,24.85,2.05
4.6,19.25,23.25,4.1
4.95,21.7,23.9,3.95
5.25,21.55,23.9,4.2
5.45,18.0,23.2,4.05
3.35,19.15,23.45,2.6
5.8,20.35,24.35,2.75
5.1,19.95,23.0,3.2
4.3,20.5,24.5,3.35
4.6,20.25,23.0,1.2
3.05,20.55,24.2,1.8
5.35,21.2,23.95,4.1
4.15,18.65,24.5,3.8
4.15,21.2,23.6,3.0
8.35,20.95,25.55,6.9
9.8,21.4,27.25,6.7
7.3,19.75,25.95,7.6
8.8,20.85,25.8,9.5
8.9,20.75,26.2,10.05
9.3,21.35,25.65,10.0
6.85,21.4,24.65,8.85
8.9,21.9,26.75,8.05
8.85,19.4,25.7,6.45
7.75,21.15,27.3,7.45
7.0,22.0,25.95,5.95
6.2,20.9,26.55,6.4
9.6,21.5,25.6,9.3
9.4,20.2,25.7,8.45
7.85,21.2,25.9,9.2
